LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LN000836,30,33812,28743,595,32,15,15.44,120,0.0861,Bachelor's,Part-time,Married,No,No,Auto,No,1
LN000837,47,26298,17107,571,18,12,15.99,120,0.0659,High School,Full-time,Married,No,No,Education,No,0
LN000838,43,110050,55256,803,93,5,5.04,36,0.1681,Master's,Self-employed,Single,No,No,Personal,No,0
LN000839,53,18026,13561,687,63,3,11.76,48,0.1899,High School,Part-time,Single,No,Yes,Education,No,0
LN000840,55,56794,28608,624,62,1,13.63,120,0.0509,Bachelor's,Full-time,Single,No,No,Personal,Yes,0
LN000841,41,73682,22578,402,61,8,22.59,60,0.0624,Master's,Full-time,Divorced,Yes,No,Personal,No,1
LN000842,37,59015,75511,808,30,10,6.85,60,0.2574,Bachelor's,Self-employed,Divorced,No,Yes,Business,No,0
LN000843,57,99075,55916,740,86,3,10.93,60,0.1139,PhD,Full-time,Divorced,Yes,No,Education,No,1
LN000844,26,74051,263948,755,46,4,6.59,60,0.7168,Bachelor's,Full-time,Married,Yes,Yes,Home,No,1
LN000845,49,9676,15561,648,1,1,13.24,180,0.1084,Bachelor's,Unemployed,Single,No,No,Business,Yes,1
LN000846,36,54100,47752,805,73,12,6.33,360,0.0296,Bachelor's,Self-employed,Married,No,No,Business,Yes,0
LN000847,48,26196,42513,583,10,12,17.78,60,0.3294,Master's,Part-time,Single,Yes,No,Business,No,1
LN000848,35,4402,12887,717,1,3,11.18,60,0.591,High School,Unemployed,Divorced,No,Yes,Home,No,0
LN000849,29,74194,267244,380,67,11,24.38,48,0.9188,Master's,Self-employed,Married,No,Yes,Home,Yes,0
LN000850,61,75126,309724,519,1,18,18.18,180,0.279,Master's,Full-time,Married,No,No,Home,No,0
LN000851,30,67479,182228,303,77,5,28.46,24,0.99,Bachelor's,Self-employed,Single,No,No,Home,No,1
LN000852,58,3569,1819,616,1,0,13.59,60,0.1031,High School,Unemployed,Married,No,No,Education,No,0
LN000853,36,22062,91008,757,66,4,9.25,48,0.99,High School,Full-time,Married,No,Yes,Home,No,1
LN000854,47,98524,155848,698,110,12,11.63,60,0.3194,Master's,Full-time,Married,Yes,Yes,Business,No,0
LN000855,49,46611,48055,533,1,19,19.1,60,0.2095,Bachelor's,Full-time,Divorced,Yes,No,Business,No,0
LN000856,36,30568,21909,593,100,12,16.29,60,0.1453,High School,Self-employed,Single,No,No,Auto,Yes,0
LN000857,42,22337,71303,565,72,8,18.03,60,0.648,High School,Self-employed,Married,No,Yes,Home,No,0
LN000858,29,31115,3595,756,59,19,8.64,12,0.1164,High School,Full-time,Married,Yes,Yes,Education,No,0
LN000859,48,130786,521781,392,158,2,23.96,120,0.4069,PhD,Full-time,Divorced,Yes,Yes,Home,No,1
LN000860,40,41043,168785,641,57,5,13.43,180,0.2772,Bachelor's,Full-time,Married,Yes,No,Home,No,0
LN000861,28,7516,20921,690,2,1,10.6,180,0.1872,Bachelor's,Unemployed,Married,Yes,No,Home,No,0
LN000862,35,102102,56360,371,1,8,24.78,36,0.1878,Master's,Self-employed,Married,No,Yes,Education,No,1
LN000863,50,32424,41790,744,1,10,9.96,180,0.0866,Bachelor's,Part-time,Divorced,Yes,No,Business,No,0
LN000864,18,59690,25921,667,5,14,10.25,48,0.1095,Bachelor's,Full-time,Married,No,No,Personal,No,0
LN000865,48,6884,9024,462,3,16,19.75,12,0.99,Bachelor's,Unemployed,Married,No,Yes,Business,No,1
LN000866,23,14107,8768,728,2,14,7.85,360,0.0209,PhD,Unemployed,Single,No,No,Education,No,1
LN000867,42,53757,35372,568,69,12,15.85,240,0.0333,Bachelor's,Full-time,Married,No,Yes,Education,No,1
LN000868,34,68511,26303,707,20,12,10.7,36,0.1291,Bachelor's,Full-time,Single,Yes,No,Personal,No,0
LN000869,46,22846,72534,693,79,17,10.49,360,0.1068,Bachelor's,Part-time,Single,No,No,Home,Yes,0
LN000870,36,63723,26209,728,7,19,7.88,36,0.138,Bachelor's,Self-employed,Married,No,No,Personal,No,0
LN000871,42,107745,81995,594,47,14,14.38,36,0.2567,Master's,Full-time,Divorced,No,No,Education,No,1
LN000872,39,37456,23840,612,10,13,14.04,12,0.6439,High School,Self-employed,Married,No,No,Education,Yes,0
LN000873,22,34000,63225,581,10,4,14.58,24,0.9411,High School,Self-employed,Divorced,No,Yes,Business,No,0
LN000874,31,24998,7945,715,42,2,8.33,60,0.064,High School,Full-time,Married,No,Yes,Personal,No,0
LN000875,43,32265,17305,771,111,7,7.98,60,0.108,High School,Full-time,Single,Yes,No,Education,Yes,0
LN000876,25,81787,104537,735,20,17,9.39,36,0.4294,Master's,Full-time,Married,Yes,No,Business,No,0
LN000877,20,35033,11760,728,90,6,11.29,180,0.0226,High School,Full-time,Married,No,No,Personal,No,0
LN000878,53,62489,56788,685,14,1,11.07,240,0.0459,Bachelor's,Self-employed,Single,No,Yes,Auto,No,0
LN000879,45,99090,45463,740,54,5,7.59,180,0.0308,Master's,Full-time,Divorced,No,Yes,Personal,No,1
LN000880,40,76735,232295,678,57,11,8.42,180,0.2032,Bachelor's,Full-time,Married,No,Yes,Home,No,0
LN000881,48,106305,42231,805,1,5,8.1,48,0.1,Master's,Full-time,Single,No,No,Personal,Yes,0
LN000882,39,71444,88110,477,72,18,19.41,60,0.2506,Bachelor's,Full-time,Divorced,Yes,Yes,Business,No,1
LN000883,32,62977,214478,795,82,7,6.27,60,0.6847,Bachelor's,Full-time,Single,No,No,Home,Yes,0
LN000884,23,102234,88648,586,86,10,15.73,240,0.0439,PhD,Full-time,Divorced,No,No,Auto,No,0
LN000885,32,58623,22172,722,32,18,7.76,48,0.0952,Bachelor's,Self-employed,Single,Yes,No,Personal,No,1
LN000886,33,5768,25552,622,1,6,14.4,36,0.99,Bachelor's,Unemployed,Divorced,No,Yes,Home,No,0
LN000887,34,67357,43126,714,21,10,11.09,24,0.3231,Bachelor's,Full-time,Married,Yes,Yes,Auto,No,0
LN000888,48,32271,155120,708,75,16,11.47,36,0.99,Bachelor's,Part-time,Single,No,Yes,Home,No,0
LN000889,39,20891,7948,658,1,16,14.01,360,0.0128,High School,Part-time,Single,Yes,No,Personal,No,0
LN000890,39,95392,30462,829,94,8,5.06,180,0.0214,Master's,Full-time,Married,No,No,Personal,No,1
LN000891,43,62030,31097,837,87,2,3.0,240,0.0251,Bachelor's,Self-employed,Married,No,No,Personal,No,0
LN000892,45,41105,23772,740,93,7,9.18,120,0.0583,High School,Full-time,Single,Yes,Yes,Education,Yes,0
LN000893,47,31727,33746,715,106,5,7.41,24,0.5351,High School,Full-time,Single,No,No,Auto,No,0
LN000894,39,23289,18363,332,66,6,25.52,48,0.2013,High School,Full-time,Single,Yes,Yes,Auto,No,1
LN000895,41,35353,14674,850,61,6,3.0,120,0.0416,Bachelor's,Part-time,Married,No,Yes,Personal,Yes,0
LN000896,51,107807,416373,738,28,3,9.64,240,0.1947,PhD,Full-time,Single,No,Yes,Home,No,0
LN000897,37,71168,72417,546,42,11,16.96,120,0.1032,Bachelor's,Full-time,Married,No,Yes,Auto,No,1
LN000898,45,27307,77435,649,53,13,12.98,360,0.0955,Bachelor's,Part-time,Married,No,No,Home,No,1
LN000899,32,31886,9612,384,92,12,23.07,48,0.0768,High School,Full-time,Single,Yes,Yes,Personal,Yes,0
LN000900,51,90099,167081,826,90,18,4.11,360,0.062,PhD,Full-time,Married,No,No,Business,No,0
LN000901,31,3582,4818,597,1,5,13.88,240,0.068,High School,Unemployed,Single,Yes,No,Business,Yes,1
LN000902,57,31812,79574,654,33,12,12.04,36,0.8422,Master's,Part-time,Married,No,Yes,Home,No,0
LN000903,31,68225,45951,595,26,13,16.25,180,0.0455,Bachelor's,Full-time,Single,No,Yes,Auto,Yes,0
LN000904,26,30491,15066,670,92,13,12.6,36,0.1664,Bachelor's,Part-time,Single,No,Yes,Personal,No,0
LN000905,52,62808,80680,659,148,15,11.62,48,0.3242,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,0
LN000906,41,82904,158292,527,54,19,17.89,180,0.1292,Master's,Full-time,Married,No,No,Business,No,1
LN000907,51,38670,20239,685,140,13,8.7,60,0.1054,High School,Full-time,Single,No,Yes,Auto,No,1
LN000908,39,7295,3937,572,0,4,15.26,24,0.2733,Bachelor's,Unemployed,Married,No,Yes,Auto,No,0
LN000909,21,59154,32827,720,81,10,11.14,180,0.0373,Bachelor's,Full-time,Single,Yes,Yes,Personal,No,0
LN000910,51,31356,44773,722,70,5,10.32,240,0.072,High School,Full-time,Single,Yes,No,Business,No,0
LN000911,53,35047,26647,752,45,5,9.66,48,0.1916,High School,Full-time,Divorced,No,Yes,Auto,No,0
LN000912,44,85301,55996,597,86,8,15.86,180,0.0443,Master's,Self-employed,Single,No,No,Auto,No,0
LN000913,42,39616,121353,747,54,5,6.12,120,0.3079,High School,Full-time,Married,No,No,Home,No,0
LN000914,30,8737,5479,674,2,15,9.78,180,0.0421,Bachelor's,Unemployed,Married,No,Yes,Education,No,1
LN000915,26,61668,40792,716,22,4,11.04,120,0.0668,Bachelor's,Full-time,Divorced,No,Yes,Education,No,0
LN000916,28,64369,25780,805,129,16,7.37,36,0.1343,Bachelor's,Self-employed,Divorced,Yes,No,Personal,No,0
LN000917,23,66346,27551,800,1,17,6.48,120,0.0418,Bachelor's,Self-employed,Married,No,No,Personal,No,0
LN000918,47,99409,55292,807,84,14,5.77,240,0.0279,Master's,Self-employed,Married,Yes,No,Personal,No,0
LN000919,40,47741,64237,583,1,6,16.75,120,0.1364,Master's,Part-time,Married,No,Yes,Business,Yes,1
LN000920,43,79267,56000,693,1,4,11.61,240,0.0357,Bachelor's,Self-employed,Single,Yes,Yes,Education,No,0
LN000921,34,54356,30575,607,70,13,15.67,24,0.2849,Bachelor's,Full-time,Married,Yes,No,Personal,No,0
LN000922,38,4018,2945,778,3,16,8.09,120,0.0738,High School,Unemployed,Married,No,Yes,Auto,Yes,0
LN000923,32,39883,39286,622,1,5,13.09,60,0.1992,High School,Full-time,Single,Yes,No,Auto,No,0
LN000924,58,102567,228051,850,50,4,5.01,60,0.4465,Master's,Full-time,Married,No,No,Home,Yes,0
LN000925,34,30418,17756,585,19,17,13.7,180,0.0394,High School,Full-time,Divorced,No,Yes,Education,No,1
LN000926,29,73119,96950,747,90,12,6.64,48,0.3333,Bachelor's,Full-time,Single,No,No,Business,No,0
LN000927,48,29135,13102,427,118,0,21.99,60,0.0916,High School,Full-time,Single,No,No,Personal,No,1
LN000928,32,31013,13822,726,102,6,9.64,60,0.0899,High School,Self-employed,Married,No,No,Education,Yes,0
LN000929,26,32112,11425,646,52,1,11.57,60,0.0718,High School,Self-employed,Single,No,Yes,Personal,Yes,0
LN000930,46,34839,29140,612,2,2,16.34,48,0.212,High School,Full-time,Married,No,No,Auto,Yes,0
LN000931,28,37583,34731,608,10,18,13.5,360,0.0312,Bachelor's,Part-time,Single,Yes,No,Auto,No,1
LN000932,45,85499,40977,690,84,13,12.82,360,0.0161,Master's,Full-time,Single,No,Yes,Auto,No,0
LN000933,42,27322,16085,706,121,16,10.5,36,0.198,High School,Self-employed,Married,Yes,No,Education,No,1
LN000934,43,45030,25798,715,56,14,10.69,60,0.1156,Bachelor's,Self-employed,Single,No,No,Personal,No,0
LN000935,56,60022,23991,817,59,15,7.35,24,0.2011,PhD,Part-time,Married,No,Yes,Personal,Yes,0
LN000936,41,72804,42425,755,143,1,7.6,240,0.0293,Bachelor's,Full-time,Married,No,Yes,Education,No,0
LN000937,48,43613,15576,352,105,5,26.06,180,0.0243,High School,Full-time,Divorced,No,Yes,Personal,No,1
LN000938,38,25310,19678,333,71,4,25.6,360,0.0265,Bachelor's,Part-time,Single,No,Yes,Education,No,1
LN000939,52,65320,189663,814,65,7,5.54,120,0.2917,Bachelor's,Full-time,Divorced,No,No,Home,No,0
LN000940,40,47674,183311,516,36,1,16.71,180,0.2599,Bachelor's,Full-time,Married,Yes,Yes,Home,No,1
LN000941,26,60608,107841,534,81,0,17.39,36,0.6017,Bachelor's,Self-employed,Married,No,Yes,Business,No,1
LN000942,21,73940,39013,507,27,18,18.62,180,0.0357,Master's,Full-time,Single,Yes,Yes,Auto,No,0
LN000943,37,60698,30601,712,78,14,12.18,360,0.017,Bachelor's,Full-time,Married,No,No,Personal,No,0
LN000944,38,18056,7496,448,79,3,22.8,60,0.0846,High School,Part-time,Single,No,Yes,Personal,No,0
LN000945,53,56259,21748,685,27,16,12.27,24,0.1953,Master's,Full-time,Married,No,Yes,Personal,No,0
LN000946,32,84723,68154,508,108,13,18.89,120,0.0817,Master's,Full-time,Single,No,No,Auto,Yes,0
LN000947,40,69778,107463,802,70,0,7.56,24,0.7749,Bachelor's,Full-time,Single,No,No,Business,No,0
LN000948,30,84761,139457,593,64,6,15.73,180,0.1111,Master's,Full-time,Married,Yes,No,Business,Yes,0
LN000949,61,36597,16715,567,113,5,17.6,36,0.1545,High School,Full-time,Single,No,No,Personal,No,0
LN000950,34,79555,156191,597,3,16,14.53,60,0.3974,Master's,Full-time,Married,No,No,Business,No,0
LN000951,36,72661,36675,683,5,11,10.92,180,0.034,Bachelor's,Full-time,Single,Yes,No,Personal,No,0
LN000952,25,102057,45705,741,44,3,7.84,24,0.2254,Master's,Self-employed,Single,Yes,No,Personal,No,0
LN000953,52,99550,383199,602,74,1,12.63,360,0.1297,Master's,Self-employed,Divorced,No,No,Home,No,0
LN000954,25,56048,26332,750,70,0,9.82,120,0.0474,Master's,Full-time,Married,No,No,Personal,Yes,0
LN000955,38,86663,34570,567,86,17,16.32,240,0.0202,PhD,Full-time,Single,Yes,Yes,Personal,No,1
LN000956,39,52879,21894,646,21,1,12.29,36,0.1394,Bachelor's,Full-time,Married,No,Yes,Personal,Yes,0
LN000957,35,45770,45889,650,8,1,11.52,36,0.3374,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
LN000958,38,45709,71352,683,36,6,12.44,60,0.3154,Bachelor's,Self-employed,Single,Yes,Yes,Business,No,0
LN000959,49,48684,152886,688,86,16,11.87,12,0.99,Bachelor's,Full-time,Married,No,No,Home,No,0
LN000960,53,93501,121860,594,71,19,13.57,120,0.1318,Master's,Full-time,Married,No,Yes,Business,Yes,0
LN000961,49,51522,37343,724,70,9,9.13,120,0.073,Bachelor's,Full-time,Divorced,Yes,No,Education,No,0
LN000962,45,81038,244306,686,115,18,10.65,12,0.99,Master's,Full-time,Single,Yes,No,Home,No,0
LN000963,53,10307,10471,540,0,10,17.65,60,0.2062,Master's,Unemployed,Single,Yes,No,Auto,No,0
LN000964,39,60781,56970,757,117,12,9.32,12,0.9446,Bachelor's,Self-employed,Single,Yes,No,Auto,No,1
LN000965,33,29088,18166,715,115,17,8.38,36,0.2096,High School,Self-employed,Married,Yes,No,Auto,No,0
LN000966,51,61285,61432,844,14,13,4.26,48,0.2515,Bachelor's,Full-time,Married,Yes,No,Auto,No,0
LN000967,25,36506,11175,593,65,2,12.71,180,0.0206,High School,Full-time,Married,Yes,Yes,Personal,No,1
LN000968,20,46447,19952,691,37,6,11.53,36,0.1446,Bachelor's,Full-time,Single,No,No,Personal,No,0
LN000969,44,108743,69080,676,69,2,12.17,360,0.0214,PhD,Self-employed,Single,No,No,Auto,No,0
LN000970,57,61344,26900,674,71,3,10.88,12,0.4425,Bachelor's,Self-employed,Married,No,No,Personal,No,0
LN000971,30,34477,56076,702,77,18,10.47,240,0.082,Bachelor's,Part-time,Single,Yes,No,Business,Yes,0
LN000972,38,44218,18438,697,8,4,10.29,60,0.0841,Bachelor's,Full-time,Divorced,Yes,Yes,Personal,No,0
LN000973,24,85630,33649,822,1,14,3.0,240,0.0197,Master's,Self-employed,Single,Yes,No,Auto,Yes,0
LN000974,38,40113,18527,755,1,0,5.69,12,0.4641,High School,Full-time,Single,No,Yes,Personal,Yes,0
LN000975,28,53625,31759,687,39,1,9.07,360,0.0199,Bachelor's,Self-employed,Single,No,No,Auto,No,0
LN000976,46,97592,260510,523,81,14,20.41,36,0.9049,Master's,Self-employed,Single,Yes,Yes,Home,No,1
LN000977,33,67234,48116,608,37,9,16.38,240,0.0363,Bachelor's,Full-time,Single,No,No,Education,Yes,0
LN000978,31,86725,62270,746,37,12,9.41,360,0.0241,PhD,Full-time,Married,Yes,Yes,Education,No,0
LN000979,59,72432,111120,617,70,17,17.87,48,0.3892,Bachelor's,Full-time,Divorced,No,No,Business,Yes,0
LN000980,32,15602,53952,445,104,4,21.09,48,0.8797,High School,Part-time,Single,Yes,Yes,Home,No,1
LN000981,26,73536,150563,759,40,5,8.21,48,0.5154,Bachelor's,Self-employed,Married,No,No,Business,No,0
LN000982,35,73407,33473,542,42,0,18.25,240,0.0231,PhD,Full-time,Married,No,No,Personal,Yes,0
LN000983,47,6092,3065,754,0,12,8.91,120,0.0507,Bachelor's,Unemployed,Married,No,No,Education,No,0
LN000984,62,83152,59021,705,78,1,10.54,120,0.0716,Master's,Full-time,Divorced,No,Yes,Education,No,0
LN000985,41,61599,243405,505,80,2,18.47,120,0.4012,Bachelor's,Full-time,Single,No,Yes,Home,No,0
LN000986,24,74414,31039,597,6,6,17.31,120,0.0423,Master's,Full-time,Married,Yes,No,Personal,No,0
LN000987,33,27734,11006,570,133,8,16.41,180,0.0268,Bachelor's,Part-time,Married,No,No,Personal,No,0
LN000988,34,108796,55856,779,11,12,6.64,60,0.1032,Master's,Full-time,Divorced,Yes,No,Education,No,0
LN000989,58,60612,82238,690,29,14,10.61,36,0.4563,Bachelor's,Full-time,Married,No,Yes,Business,No,0
LN000990,43,36846,95140,717,119,2,7.66,12,0.99,High School,Self-employed,Married,No,No,Home,No,0
LN000991,43,38033,27162,684,20,9,13.06,12,0.7219,High School,Full-time,Divorced,No,No,Auto,No,0
LN000992,24,58469,223016,753,34,17,7.95,24,0.99,Bachelor's,Full-time,Single,No,No,Home,No,0
LN000993,53,62915,21201,534,104,4,16.74,48,0.0854,Bachelor's,Full-time,Single,Yes,Yes,Personal,No,0
LN000994,34,36900,17169,697,55,9,9.2,360,0.0156,High School,Full-time,Married,No,Yes,Education,No,0
LN000995,46,94320,47343,680,32,11,11.89,120,0.0507,Master's,Full-time,Married,Yes,Yes,Personal,No,0
LN000996,40,51460,21806,748,137,1,7.87,48,0.1066,Master's,Full-time,Divorced,Yes,No,Personal,No,0
LN000997,28,54263,39313,773,31,18,8.39,180,0.0486,Bachelor's,Self-employed,Married,No,No,Auto,No,0
LN000998,27,78139,38048,715,134,15,10.85,120,0.0491,Bachelor's,Full-time,Single,Yes,Yes,Education,No,0
LN000999,37,50587,110133,694,53,16,11.11,360,0.0732,Master's,Part-time,Married,Yes,No,Home,Yes,0
LN001000,44,60156,27075,765,76,4,6.54,120,0.0453,Bachelor's,Full-time,Married,No,No,Personal,No,0
LN001001,53,6466,9918,720,3,18,10.72,60,0.3095,Bachelor's,Unemployed,Married,Yes,Yes,Business,No,0
LN001002,39,4445,2258,827,1,9,4.21,60,0.102,High School,Unemployed,Married,No,No,Auto,No,0
LN001003,33,34681,108747,635,58,0,13.88,180,0.2115,High School,Full-time,Divorced,Yes,No,Home,Yes,0
LN001004,30,90709,64900,601,121,8,15.41,24,0.3623,Master's,Full-time,Divorced,No,No,Auto,No,0
LN001005,40,39051,105417,704,32,6,9.16,60,0.544,High School,Full-time,Single,No,No,Home,No,0
LN001006,37,50757,119722,663,10,17,12.44,180,0.1589,PhD,Full-time,Single,Yes,Yes,Home,Yes,0
LN001007,39,33848,77991,704,79,6,9.43,360,0.0774,High School,Full-time,Single,No,Yes,Home,No,0
LN001008,44,29643,32422,530,1,14,19.21,360,0.037,High School,Self-employed,Single,No,No,Business,No,0
LN001009,47,6142,2333,715,3,16,11.05,12,0.3833,Bachelor's,Unemployed,Married,No,No,Personal,Yes,0
LN001010,43,35282,12698,795,33,7,6.91,120,0.0362,High School,Full-time,Single,No,Yes,Personal,No,0
LN001011,50,40758,124477,677,31,13,12.07,240,0.1542,High School,Full-time,Single,No,Yes,Home,Yes,0
LN001012,51,22678,42791,729,41,17,8.77,60,0.3801,High School,Full-time,Single,No,No,Business,No,0
LN001013,28,30378,23749,563,96,0,17.34,360,0.0264,High School,Full-time,Married,No,Yes,Auto,No,0
LN001014,31,65095,105151,737,77,11,8.5,120,0.1627,Master's,Self-employed,Married,No,No,Business,No,0
LN001015,33,37163,21802,723,30,4,9.01,36,0.197,High School,Self-employed,Married,Yes,No,Auto,Yes,0
LN001016,29,67879,48075,680,102,11,11.66,36,0.2384,Bachelor's,Full-time,Married,No,Yes,Education,No,0
LN001017,44,32378,8803,727,81,17,8.74,360,0.01,High School,Full-time,Married,Yes,No,Personal,No,0
LN001018,46,30843,32868,353,29,7,25.5,12,0.99,Bachelor's,Part-time,Married,Yes,No,Business,No,1
LN001019,33,4019,7695,359,0,4,25.17,24,0.9774,High School,Unemployed,Married,No,Yes,Business,No,1
LN001020,44,62941,33676,509,96,6,19.32,360,0.0181,Bachelor's,Full-time,Divorced,Yes,No,Personal,No,0
LN001021,53,82333,35027,734,63,18,10.92,240,0.0215,PhD,Self-employed,Married,No,Yes,Personal,No,1
LN001022,29,60353,251026,580,1,4,16.14,24,0.99,Bachelor's,Full-time,Married,No,No,Home,No,1
LN001023,30,42074,29588,699,26,15,9.37,180,0.0472,High School,Full-time,Divorced,Yes,No,Education,No,0
LN001024,34,24840,20863,731,56,0,8.86,36,0.282,High School,Full-time,Married,No,Yes,Auto,No,1
LN001025,31,58366,208726,670,38,0,11.31,180,0.2407,Bachelor's,Self-employed,Single,No,No,Home,No,0
LN001026,30,32471,56734,698,79,5,9.64,36,0.5871,High School,Full-time,Divorced,No,No,Business,No,1
LN001027,31,115992,42669,581,88,4,16.09,60,0.0746,PhD,Self-employed,Married,No,No,Personal,No,0
LN001028,54,79656,37051,490,70,15,20.12,36,0.1576,Master's,Full-time,Divorced,No,No,Personal,No,0
LN001029,43,29321,27496,826,72,15,6.44,36,0.3143,High School,Self-employed,Married,No,No,Auto,No,0
LN001030,49,53054,73404,804,110,15,5.92,60,0.2781,Bachelor's,Full-time,Divorced,No,No,Business,No,0
LN001031,44,79292,340152,727,64,13,8.15,180,0.2879,Master's,Full-time,Married,No,No,Home,No,0
LN001032,28,71546,26138,842,54,10,4.38,24,0.1833,Bachelor's,Self-employed,Single,Yes,No,Education,Yes,0
LN001033,24,6269,1654,595,1,10,14.3,180,0.0178,Bachelor's,Unemployed,Single,No,No,Personal,No,0
LN001034,20,4165,3471,543,1,3,15.88,120,0.0844,High School,Unemployed,Married,No,No,Auto,No,1
LN001035,18,38843,163377,760,6,12,8.76,120,0.4237,High School,Full-time,Married,No,Yes,Home,Yes,0
LN001036,19,55589,199670,844,39,2,3.63,60,0.7206,Bachelor's,Full-time,Married,Yes,No,Home,No,0
LN001037,40,63138,32096,651,159,12,13.26,24,0.257,Bachelor's,Full-time,Married,No,Yes,Education,No,0
LN001038,39,68863,221908,754,106,11,7.01,180,0.2161,Bachelor's,Self-employed,Married,No,No,Home,Yes,0
LN001039,36,58562,38543,694,39,1,10.43,120,0.0664,Bachelor's,Full-time,Single,No,No,Education,No,0
LN001040,37,4846,2425,661,1,19,12.23,36,0.1685,Bachelor's,Unemployed,Married,No,No,Education,No,0
LN001041,35,38496,19126,609,1,2,14.73,60,0.1006,High School,Self-employed,Single,No,No,Education,No,0
LN001042,26,66229,74301,586,1,2,16.36,36,0.3791,Bachelor's,Self-employed,Single,Yes,No,Auto,No,0
LN001043,48,57335,86266,663,6,12,13.11,48,0.3803,Bachelor's,Full-time,Single,No,Yes,Business,No,1
LN001044,38,85979,121300,739,73,16,9.2,24,0.7108,Master's,Full-time,Married,Yes,No,Business,No,0
LN001045,40,13739,4785,747,83,11,9.26,60,0.0702,High School,Part-time,Divorced,Yes,No,Personal,No,1
LN001046,22,79759,45014,796,87,18,7.05,180,0.0378,Master's,Self-employed,Married,No,Yes,Auto,No,1
LN001047,23,66867,104028,735,152,10,9.49,240,0.0784,Master's,Full-time,Single,No,Yes,Business,Yes,0
LN001048,47,84229,53512,827,66,17,5.19,60,0.1276,Master's,Full-time,Single,No,No,Auto,No,0
LN001049,44,66432,32253,608,132,3,12.25,36,0.1635,PhD,Full-time,Married,Yes,No,Personal,No,1
LN001050,48,29101,53403,732,74,0,6.78,48,0.4614,High School,Full-time,Married,Yes,No,Business,No,0
LN001051,36,37802,73238,351,20,12,27.05,60,0.3962,High School,Self-employed,Single,Yes,Yes,Business,No,1
LN001052,21,74673,305046,678,78,19,10.4,180,0.2747,Bachelor's,Self-employed,Married,No,Yes,Home,No,0
LN001053,37,24813,20324,796,48,18,5.35,48,0.2057,High School,Full-time,Married,No,No,Auto,No,0
LN001054,50,57776,54914,813,3,0,6.77,48,0.239,Bachelor's,Full-time,Married,No,No,Auto,No,0
LN001055,43,48766,26731,750,15,5,6.18,60,0.1102,Bachelor's,Full-time,Married,No,No,Education,Yes,0
LN001056,38,34982,22028,405,12,9,25.54,120,0.0643,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
LN001057,18,6508,3100,771,0,3,5.57,360,0.016,Bachelor's,Unemployed,Single,No,No,Personal,Yes,0
LN001058,40,69832,42063,399,93,9,23.99,48,0.1536,Bachelor's,Full-time,Married,Yes,Yes,Personal,No,1
LN001059,44,97121,40810,683,1,12,11.76,48,0.1061,Master's,Full-time,Married,No,Yes,Personal,No,0
LN001060,32,98540,274395,563,57,14,16.61,240,0.1412,Master's,Full-time,Married,No,No,Home,No,0
LN001061,35,71865,59665,827,56,9,4.92,48,0.2084,Bachelor's,Self-employed,Married,No,No,Education,Yes,0
LN001062,27,26984,9921,735,71,16,8.43,12,0.3702,Bachelor's,Part-time,Single,No,Yes,Personal,No,0
LN001063,34,98882,53315,578,50,5,14.61,12,0.5457,PhD,Full-time,Married,No,Yes,Education,Yes,0
LN001064,34,66848,51626,658,42,9,12.06,12,0.7801,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
LN001065,32,25002,11666,758,33,1,8.68,36,0.1567,High School,Full-time,Married,No,Yes,Personal,Yes,0
LN001066,30,59156,39518,816,59,19,6.03,48,0.1678,Bachelor's,Full-time,Married,Yes,No,Auto,No,0
LN001067,24,41481,12594,724,95,3,10.39,360,0.0102,Bachelor's,Full-time,Single,Yes,Yes,Personal,No,0
LN001068,40,66318,25794,698,62,19,10.43,180,0.0262,Bachelor's,Self-employed,Single,No,Yes,Auto,No,0
LN001069,28,88887,44285,674,90,0,12.27,60,0.1007,PhD,Full-time,Married,Yes,No,Education,No,1
LN001070,58,64616,104993,774,90,13,6.95,360,0.0545,Bachelor's,Self-employed,Married,No,No,Business,No,0
LN001071,23,59325,53103,742,70,2,8.64,120,0.0902,Bachelor's,Self-employed,Married,No,Yes,Auto,No,0
LN001072,27,54387,59454,715,98,3,9.54,180,0.0735,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,No,0
LN001073,37,3488,11366,829,1,2,3.0,120,0.3267,High School,Unemployed,Married,No,Yes,Home,No,0
LN001074,33,22911,16027,606,93,4,14.44,360,0.0236,Bachelor's,Part-time,Married,No,No,Auto,No,0
LN001075,36,61163,174978,754,49,17,5.56,120,0.2874,Bachelor's,Full-time,Single,No,No,Home,No,0
LN001076,18,17893,28315,660,2,9,11.77,120,0.1598,PhD,Unemployed,Married,Yes,No,Business,No,0
LN001077,18,76825,143122,417,27,0,22.77,60,0.3797,Bachelor's,Self-employed,Single,No,No,Business,No,0
LN001078,44,79640,64911,597,56,5,13.59,60,0.1649,Master's,Full-time,Single,No,No,Auto,No,1
LN001079,36,98792,161261,668,53,19,11.14,36,0.5492,Master's,Full-time,Married,No,No,Business,No,0
